Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
HG4,NO,1/1/2013 0:00,,ug m-3,P
HG4,NO,1/1/2013 0:15,2,ug m-3,P
HG4,NO,1/1/2013 0:30,2,ug m-3,P
HG4,NO,1/1/2013 0:45,,ug m-3,P
HG4,NO,1/1/2013 1:00,,ug m-3,P
HG4,NO,1/1/2013 1:15,2,ug m-3,P
HG4,NO,1/1/2013 1:30,2,ug m-3,P
HG4,NO,1/1/2013 1:45,1,ug m-3,P
HG4,NO,1/1/2013 2:00,1,ug m-3,P
HG4,NO,1/1/2013 2:15,1,ug m-3,P
HG4,NO,1/1/2013 2:30,1,ug m-3,P
HG4,NO,1/1/2013 2:45,1,ug m-3,P
HG4,NO,1/1/2013 3:00,2,ug m-3,P
HG4,NO,1/1/2013 3:15,1,ug m-3,P
HG4,NO,1/1/2013 3:30,1,ug m-3,P
HG4,NO,1/1/2013 3:45,1,ug m-3,P
HG4,NO,1/1/2013 4:00,1,ug m-3,P
HG4,NO,1/1/2013 4:15,1,ug m-3,P
HG4,NO,1/1/2013 4:30,1,ug m-3,P
HG4,NO,1/1/2013 4:45,1,ug m-3,P
HG4,NO,1/1/2013 5:00,2,ug m-3,P
HG4,NO,1/1/2013 5:15,1,ug m-3,P
HG4,NO,1/1/2013 5:30,1,ug m-3,P
HG4,NO,1/1/2013 5:45,1,ug m-3,P
HG4,NO,1/1/2013 6:00,1,ug m-3,P
HG4,NO,1/1/2013 6:15,1,ug m-3,P
HG4,NO,1/1/2013 6:30,2,ug m-3,P
HG4,NO,1/1/2013 6:45,2,ug m-3,P
HG4,NO,1/1/2013 7:00,2,ug m-3,P
HG4,NO,1/1/2013 7:15,2,ug m-3,P
HG4,NO,1/1/2013 7:30,2,ug m-3,P
HG4,NO,1/1/2013 7:45,2,ug m-3,P
HG4,NO,1/1/2013 8:00,2,ug m-3,P
HG4,NO,1/1/2013 8:15,2,ug m-3,P
HG4,NO,1/1/2013 8:30,2,ug m-3,P
HG4,NO,1/1/2013 8:45,2,ug m-3,P
HG4,NO,1/1/2013 9:00,2,ug m-3,P
HG4,NO,1/1/2013 9:15,3,ug m-3,P
HG4,NO,1/1/2013 9:30,3,ug m-3,P
HG4,NO,1/1/2013 9:45,3,ug m-3,P
HG4,NO,1/1/2013 10:00,3,ug m-3,P
HG4,NO,1/1/2013 10:15,3,ug m-3,P
HG4,NO,1/1/2013 10:30,3,ug m-3,P
HG4,NO,1/1/2013 10:45,4,ug m-3,P
HG4,NO,1/1/2013 11:00,3,ug m-3,P
HG4,NO,1/1/2013 11:15,3,ug m-3,P
HG4,NO,1/1/2013 11:30,3,ug m-3,P
HG4,NO,1/1/2013 11:45,2,ug m-3,P
HG4,NO,1/1/2013 12:00,3,ug m-3,P
HG4,NO,1/1/2013 12:15,2,ug m-3,P
HG4,NO,1/1/2013 12:30,2,ug m-3,P
HG4,NO,1/1/2013 12:45,2,ug m-3,P
HG4,NO,1/1/2013 13:00,2,ug m-3,P
HG4,NO,1/1/2013 13:15,2,ug m-3,P
HG4,NO,1/1/2013 13:30,2,ug m-3,P
HG4,NO,1/1/2013 13:45,2,ug m-3,P
HG4,NO,1/1/2013 14:00,1,ug m-3,P
HG4,NO,1/1/2013 14:15,2,ug m-3,P
HG4,NO,1/1/2013 14:30,2,ug m-3,P
HG4,NO,1/1/2013 14:45,2,ug m-3,P
HG4,NO,1/1/2013 15:00,2,ug m-3,P
HG4,NO,1/1/2013 15:15,2,ug m-3,P
HG4,NO,1/1/2013 15:30,2,ug m-3,P
HG4,NO,1/1/2013 15:45,2,ug m-3,P
HG4,NO,1/1/2013 16:00,3,ug m-3,P
HG4,NO,1/1/2013 16:15,3,ug m-3,P
HG4,NO,1/1/2013 16:30,3,ug m-3,P
HG4,NO,1/1/2013 16:45,3,ug m-3,P
HG4,NO,1/1/2013 17:00,3,ug m-3,P
HG4,NO,1/1/2013 17:15,3,ug m-3,P
HG4,NO,1/1/2013 17:30,3,ug m-3,P
HG4,NO,1/1/2013 17:45,3,ug m-3,P
HG4,NO,1/1/2013 18:00,2,ug m-3,P
HG4,NO,1/1/2013 18:15,3,ug m-3,P
HG4,NO,1/1/2013 18:30,3,ug m-3,P
HG4,NO,1/1/2013 18:45,4,ug m-3,P
HG4,NO,1/1/2013 19:00,4,ug m-3,P
HG4,NO,1/1/2013 19:15,3,ug m-3,P
HG4,NO,1/1/2013 19:30,2,ug m-3,P
HG4,NO,1/1/2013 19:45,2,ug m-3,P
HG4,NO,1/1/2013 20:00,2,ug m-3,P
HG4,NO,1/1/2013 20:15,2,ug m-3,P
